experiment,lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,RandomForest,0.89,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.9,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.91,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.92,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.93,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.94,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,RandomForest,0.95,0.7552511415525114,0.0,0.0,0.0,0.9862432095868902,0.9619191541935136,0.5,827,0,268,0
env_with_chla,T+1,XGBoost,0.05,0.936986301369863,0.8061538461538461,0.9776119402985075,0.8836424957841484,0.9877005540616146,0.9632348963721576,0.9507164901008862,764,63,6,262
env_with_chla,T+1,XGBoost,0.06,0.9388127853881278,0.819047619047619,0.9626865671641791,0.8850771869639794,0.9877005540616146,0.9632348963721576,0.9468813730621379,770,57,10,258
env_with_chla,T+1,XGBoost,0.07,0.9406392694063926,0.8263665594855305,0.9589552238805971,0.8877374784110535,0.9877005540616146,0.9632348963721576,0.9468294861845549,773,54,11,257
env_with_chla,T+1,XGBoost,0.08,0.9415525114155251,0.8311688311688312,0.9552238805970149,0.8888888888888888,0.9877005540616146,0.9632348963721576,0.9461730043855692,775,52,12,256
env_with_chla,T+1,XGBoost,0.09,0.9452054794520548,0.8421052631578947,0.9552238805970149,0.8951048951048951,0.9877005540616146,0.9632348963721576,0.9485913840711797,779,48,12,256
env_with_chla,T+1,XGBoost,0.1,0.9388127853881278,0.8383838383838383,0.9291044776119403,0.8814159292035398,0.9877005540616146,0.9632348963721576,0.9355316825786424,779,48,19,249
env_with_chla,T+1,XGBoost,0.11,0.9424657534246575,0.852233676975945,0.9253731343283582,0.8872987477638641,0.9877005540616146,0.9632348963721576,0.9366889855438647,784,43,20,248
env_with_chla,T+1,XGBoost,0.12,0.9406392694063926,0.8536585365853658,0.914179104477612,0.8828828828828829,0.9877005540616146,0.9632348963721576,0.9316965655398943,785,42,23,245
env_with_chla,T+1,XGBoost,0.13,0.9415525114155251,0.8591549295774648,0.9104477611940298,0.8840579710144928,0.9877005540616146,0.9632348963721576,0.9310400837409085,787,40,24,244
env_with_chla,T+1,XGBoost,0.14,0.9360730593607306,0.8561151079136691,0.8880597014925373,0.8717948717948718,0.9877005540616146,0.9632348963721576,0.9198460538901623,787,40,30,238
env_with_chla,T+1,XGBoost,0.15,0.9351598173515981,0.8581818181818182,0.8805970149253731,0.8692449355432781,0.9877005540616146,0.9632348963721576,0.9167193055279828,788,39,32,236
env_with_chla,T+1,XGBoost,0.16,0.9351598173515981,0.8661710037174721,0.8694029850746269,0.8677839851024208,0.9877005540616146,0.9632348963721576,0.9129360753668176,791,36,35,233
env_with_chla,T+1,XGBoost,0.17,0.9342465753424658,0.868421052631579,0.8619402985074627,0.8651685393258427,0.9877005540616146,0.9632348963721576,0.9098093270046382,792,35,37,231
env_with_chla,T+1,XGBoost,0.18,0.9360730593607306,0.8778625954198473,0.8582089552238806,0.8679245283018868,0.9877005540616146,0.9632348963721576,0.9097574401270552,795,32,38,230
env_with_chla,T+1,XGBoost,0.19,0.9360730593607306,0.8778625954198473,0.8582089552238806,0.8679245283018868,0.9877005540616146,0.9632348963721576,0.9097574401270552,795,32,38,230
env_with_chla,T+1,XGBoost,0.2,0.9360730593607306,0.8837209302325582,0.8507462686567164,0.8669201520912547,0.9877005540616146,0.9632348963721576,0.9072352866862784,797,30,40,228
env_with_chla,T+1,XGBoost,0.21,0.9351598173515981,0.8862745098039215,0.8432835820895522,0.864244741873805,0.9877005540616146,0.9632348963721576,0.904108538324099,798,29,42,226
env_with_chla,T+1,XGBoost,0.22,0.9342465753424658,0.8888888888888888,0.835820895522388,0.8615384615384616,0.9877005540616146,0.9632348963721576,0.9009817899619195,799,28,44,224
env_with_chla,T+1,XGBoost,0.23,0.9342465753424658,0.892,0.832089552238806,0.861003861003861,0.9877005540616146,0.9632348963721576,0.8997207132415312,800,27,45,223
env_with_chla,T+1,XGBoost,0.24,0.9342465753424658,0.892,0.832089552238806,0.861003861003861,0.9877005540616146,0.9632348963721576,0.8997207132415312,800,27,45,223
env_with_chla,T+1,XGBoost,0.25,0.9351598173515981,0.8955823293172691,0.832089552238806,0.8626692456479691,0.9877005540616146,0.9632348963721576,0.9003253081629339,801,26,45,223
env_with_chla,T+1,XGBoost,0.26,0.9378995433789954,0.9065040650406504,0.832089552238806,0.867704280155642,0.9877005540616146,0.9632348963721576,0.9021390929271418,804,23,45,223
env_with_chla,T+1,XGBoost,0.27,0.9388127853881278,0.9102040816326531,0.832089552238806,0.8693957115009746,0.9877005540616146,0.9632348963721576,0.9027436878485444,805,22,45,223
env_with_chla,T+1,XGBoost,0.28,0.9378995433789954,0.9098360655737705,0.8283582089552238,0.8671875,0.9877005540616146,0.9632348963721576,0.9008780162067533,805,22,46,222
env_with_chla,T+1,XGBoost,0.29,0.9378995433789954,0.9098360655737705,0.8283582089552238,0.8671875,0.9877005540616146,0.9632348963721576,0.9008780162067533,805,22,46,222
env_with_chla,T+1,XGBoost,0.3,0.9388127853881278,0.9135802469135802,0.8283582089552238,0.8688845401174168,0.9877005540616146,0.9632348963721576,0.901482611128156,806,21,46,222
env_with_chla,T+1,XGBoost,0.31,0.9397260273972603,0.9173553719008265,0.8283582089552238,0.8705882352941177,0.9877005540616146,0.9632348963721576,0.9020872060495587,807,20,46,222
